                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.89154,                0.57545,                 0.8287,                0.84581,                0.92273,                0.90712,                0.71419,                0.78962,                0.70897,                0.86649,                0.00307,                0.00307,                0.00307
                     37,                0.87667,                0.58247,                0.82834,                0.82745,                 0.9099,                0.89668,                 0.7057,                0.78287,                0.67608,                0.86692,               0.002872,               0.002872,               0.002872
                     38,                0.86538,                0.55458,                 0.8248,                0.82829,                0.88941,                0.89716,                0.71895,                0.75161,                0.74656,                0.86438,               0.002674,               0.002674,               0.002674
                     39,                0.86623,                0.55846,                0.82942,                0.79421,                0.84237,                0.86326,                0.68364,                0.79716,                0.93113,                0.86839,               0.002476,               0.002476,               0.002476
                     40,                 0.8553,                0.56631,                0.82861,                0.82236,                0.93765,                0.91135,                0.72663,                0.77256,                0.73848,                0.86787,               0.002278,               0.002278,               0.002278
                     41,                0.83261,                0.55855,                0.82509,                0.82387,                0.90991,                0.89945,                0.72272,                0.77295,                0.72962,                0.85988,                0.00208,                0.00208,                0.00208
                     42,                0.82102,                0.53057,                0.81897,                0.82959,                0.89027,                0.91253,                0.74104,                0.73265,                0.69348,                0.85379,               0.001882,               0.001882,               0.001882
                     43,                0.81519,                0.52177,                0.81936,                 0.8195,                0.90141,                  0.904,                0.73351,                0.73358,                0.74448,                0.85662,               0.001684,               0.001684,               0.001684
                     44,                0.80222,                0.51448,                0.82391,                0.84619,                0.92127,                 0.9323,                0.76961,                0.69743,                0.62956,                0.84661,               0.001486,               0.001486,               0.001486
                     45,                 0.8001,                0.52339,                0.81725,                0.81087,                0.88843,                0.89626,                0.72678,                0.73724,                0.79211,                0.85347,               0.001288,               0.001288,               0.001288
                     46,                0.78474,                0.49422,                0.82096,                0.83624,                0.89372,                0.91352,                0.74931,                0.70301,                0.73105,                0.84625,                0.00109,                0.00109,                0.00109
                     47,                0.76993,                 0.4688,                0.80945,                0.83789,                0.91296,                0.92472,                0.76853,                0.70472,                0.70802,                0.84501,               0.000892,               0.000892,               0.000892
                     48,                0.74584,                  0.466,                0.81532,                0.83064,                0.88312,                0.90385,                 0.7516,                0.70189,                0.78622,                0.84726,               0.000694,               0.000694,               0.000694
                     49,                0.74676,                0.46129,                0.81349,                0.83466,                0.87209,                0.90144,                0.74678,                0.68712,                0.81271,                0.84464,               0.000496,               0.000496,               0.000496
